New MrsP    Original MrsP    MSRP    FIFONP-JAVA    FIFOP-JAVA    FIFONP-C    FIFOP-C
17257354    291919    325404    13327482    6809263    4354728242    1635526820
4557496    34693    39760    1091312    513115    129713334    200905455
965453    9508    10492    200672    133968    227215715    511759989
3106636    333868    279114    6980112    3953641    1019721308    1174327053
358301    91853    94553    15652943    10613298    3524207925    3487290318
1365770    134427    137138    9526138    6331721    1802382404    1416181338
2570040    14132    15972    326394    288603    201849494    489491560
2674920    12402    14434    3845915    2241960    596011392    860113256
41974    437066    480533    9334012    5659539    1475395911    1634594534
6064840    392928    367501    13301844    8312218    4636829691    2508164173
53182    365044    460077    10049920    6372065    1172386158    1003612706
2606047    115210    132075    8166347    6391679    1075657799    1325209352
94214821    209222    301098    8878683    4787948    929049793    986412946
4726081    31796    34869    813278    443729    121010053    196785979
17150191    251424    206378    6473145    4410555    574208132    489346918
925909    302957    338497    15995823    8504472    2457695762    2236037712
6067117    79452    88234    12175037    7776184    1605945863    1445618393
6287147    85170    99863    14891091    4673613    2587798739    2491320342
230238    4964    5067    702402    312097    196032616    246890481
5655287    181133    196870    6920455    5346395    1949164961    2389629671
2820229    431539    509684    10513215    8983853    2331251978    1642227229
8787292    512995    592451    12705309    5281492    1364057878    774067806
1318609    43906    46854    1253271    710930    201070840    484390302
424238    101132    100568    11471814    8978503    3514739063    5598069209
150894711    484631    501940    11693966    8183794    1526389269    1694561480
1895792    21577    23029    481111    314480    153572963    301740555
9343776    267478    314109    10569136    6122891    1483491622    1425908947
164934    4565    16980    148203    116414    213969177    482760386
39307    9599    10423    224113    1832147    262991189    2219691559
117249    157778    177200    12013632    8945455    2667256855    3526130012
1558809    522338    556742    6283810    3431764    1199127632    971688743
5612489    361673    536087    10367077    5582821    1212693197    1328038687
2767534    123392    155737    10552917    7766342    2792551791    3425947760
1826002    342178    478070    9101365    5858225    1323408472    1108560930
792101    33543    23966    594561    352964    192846554    384623280
1145909    132453    139620    15154329    9028228    3000156007    3377508307
3900247    28898    30209    865074    590423    206790580    368923010
998598    446458    593768    10502677    5467704    1682598377    1450553820
98891    432509    451940    9553072    8455494    1968947860    2817515936
514896    22196    11157    203854    3460718    210238010    2090105299
4458494    124502    127590    7666079    6030914    1923868769    1551567120
3657558    18127    20813    475267    283504    249630592    538116834
6892402    163201    175661    12069110    10619000    3085134377    5426815497
79137    4171    5104    28377    17334    253554342    847218243
1133078    207594    245113    9855939    7958746    3369536602    5397468375
139488    43304    30103    490511    528956    280886901    545811653
59381576    169311    201438    5394804    4356602    501655754    465574947
1467830    143233    150596    9480760    7581347    1966574499    2059036232
3922768    194285    214778    13382621    6336498    1585602408    1125050718
3632055    21840    24554    777644    404924    171213502    248897406
795972    6987    6919    101342    100490    124950159    241484181
1072999    521195    524817    15855096    9760848    3366683996    3713067921
4369179    31207    36483    1597586    723790    159161745    277826905
152027    4774    5079    45444    20585    165106760    255689635
3745115    274004    314825    9614833    6153417    1515214754    1465183417
3065591    64480    72528    8857969    4594852    1221946607    786069972
89027205    252236    324914    7529280    4876721    1137387540    1095490066
6844140    352092    494586    10713768    5522272    2673011552    1479620839
4328832    240465    267548    12679508    6076650    1908306966    1550655743
50607452    356744    379210    6868843    4233597    561789494    519741235
628054    110160    152859    10322040    6887668    1839998392    2355935132
155360    505092    624936    12532932    6203604    1642821478    1188682797
5954286    35312    40121    1020563    654418    138431220    268942301
2404428    794704    877667    13159262    7501401    1897745935    1635756941
151701    4410    5627    46185    23495    248786324    545964127
1679426    236392    270755    7082194    3516274    861750711    693924180
895585    24531    24693    748157    419957    357426331    594462623
1012561    9361    12036    269326    8063500    184769791    5488648446
1946460    27558    28486    10805380    7671181    2973153814    4073772642
123292    189195    263146    12476858    9402484    2928060642    4834517862
1613224    12080    14308    922007    764825    254296429    455319581
2083599    675366    741044    7057015    5433934    1003608126    1095458260
1371451    10409    11468    371916    5944248    161032530    1844740767
52158248    201856    265762    6621744    3840222    650697482    416603839
3285560    63674    79918    1685425    1058107    238752099    312544093
4348809    44212    49346    3060057    1647941    549868082    949765218
512190    53807    59507    15317636    1915686    2667835384    1167419490
120019    163385    146899    10214595    6463505    3540461684    2624402161
23476347    374480    375408    9396222    5860918    945193333    713760522
2558059    301485    233923    11751580    7265045    4726568499    5315917425
99073    238605    287232    10554118    7090036    1684397263    2014111657
2660438    22710    25921    537847    385332    188755233    297324221
264017    163756    226744    7814565    5842871    1737922526    1637351488
2940854    38840    41312    1301282    773706    307000485    557717130
49777560    199382    212935    6758585    5029036    679510439    614922028
478670    22030    23198    12173905    10356405    3876688222    4361601615
668741    36779    38518    1076668    676195    434249685    508194500
4950472    41284    46872    1253271    590552    141052152    163622577
6315090    299067    391637    8343406    6689246    963332796    1297552386
2703772    601966    607221    9726331    8191282    1110117057    1323205870
103514    18224    20920    567747    291828    305408282    449518982
859837    76292    96846    6629982    5114661    1220847338    1450967720
1010253    18239    20081    496066    322506    195576258    333756932
2293430    43861    44700    1323273    813865    251861458    548954004
157355    4441    5161    39502    22271    167123594    247261830
3621845    108607    67342    10292021    6344491    1908936639    2613199324
4009561    15487    17588    11884157    6723408    2063663461    1532990569
2384821    99874    149698    9521322    6117794    1195528575    1654439089
223661    53072    99815    9515409    1782876    1807340161    874479185
41007    3913    5731    792092    443135    181984780    346144346
2878147    324252    299993    12753923    7804231    2601785571    2327160380
71808275    216687    226506    6441080    4940595    557820196    544705845
4818423    56745    92776    13084100    9392107    2699913440    3185667994
