MSRP-new    MrsP-new    PWLP-new    MSRP-ilp    PWLP-ilp
170762    2074879    160622    26422102    24537882
174391    882299    114994    16109098    8101540
235466    2514683    173614    34341693    26813858
138615    735381    98707    12088441    7307099
127714    901698    113794    15995648    9972562
197714    1016620    152749    30595188    45805229
378500    1437699    169405    29603583    16551100
127378    790714    94806    17825996    10800735
116184    494151    101897    13574054    9142170
162325    879983    141323    15772986    11287668
238129    10046380    214122    111489612    129249752
84981    637343    88518    12239044    6645552
239375    2653010    134198    42002367    27604018
142907    570962    163947    17408965    8087485
175051    1005378    142524    20073040    8929220
246373    3857474    179431    56657284    37525987
172129    1418133    197911    23879925    26928297
204800    944790    135073    20437873    8978167
151203    5463209    161373    48242492    30957682
190966    2889867    175419    38569452    25168682
182196    697843    121834    13761494    4926141
156054    1807231    162564    25015246    14693721
167842    2504573    180881    63960595    45622093
242612    3622468    198587    38007430    27888209
138289    1501049    165740    20596526    14713574
182175    807934    115051    17179188    5942289
171909    2269633    161237    24365635    23280122
220734    4117976    165289    93876552    51679649
195690    1619439    180315    25656505    16203781
148790    2473006    139799    38302676    24950634
88486    542232    74459    14261199    7386060
94563    787321    125797    16513489    7432252
211833    1191964    187276    24060359    18296681
190303    1296679    118630    32438386    16478341
230447    1283679    191722    24130428    18649454
208471    802086    163186    23120408    9597261
164733    1344592    125795    31645096    15517392
252923    1957486    161194    29595708    23135233
210708    1597056    175344    24780667    13225660
216626    3906441    222179    124104741    108255727
127247    573182    92882    10688623    6394882
118196    1306149    113179    19349862    10648095
145296    505219    125620    13074435    4116837
105160    713110    119061    32132933    17758487
202537    1474993    168523    34869327    25910160
104767    987257    159895    22617305    21142329
163066    1056959    159484    18547462    14071126
154635    654930    115509    14899578    6350784
235030    4587713    180352    43050796    29802532
170467    1713664    170981    26587556    15577604
135274    642009    97895    16391078    15677281
202481    817063    135143    30199899    15060655
188215    2329079    143910    48208064    30633643
125065    1649292    157868    42408058    51752430
208700    1242647    145377    43426859    23414106
136524    635884    102134    15824756    8097289
449471    1997919    137660    40434369    29160178
274767    1407308    155421    43668183    23234099
296372    1194657    226901    35779621    25276333
200327    1703355    147555    32978827    18018436
192572    679075    142697    22121865    16098293
149503    2010401    146656    24612448    23050599
239282    2560184    157507    47741804    18842275
180208    693440    116222    14872460    5815817
297714    2107454    204806    38247379    31991399
141558    835050    104151    13868050    5821001
216133    1705394    122999    27507938    14652123
245483    505910    168030    62655678    46772820
195740    920139    152340    16017321    8211170
122247    984224    129099    16094868    14699572
241836    984465    117693    28357026    9279237
218813    2193049    103427    20537821    8911411
194616    696674    131796    16105755    10641721
134128    922975    167311    18335908    18553194
108788    814841    96274    13926171    7397249
173784    2464367    163710    145304171    101572652
109172    437962    82883    10471143    6087684
215561    760332    142936    23365487    15581746
170014    3733694    183016    65198999    41564296
170374    2429585    278618    78832474    92163944
123260    831772    131414    26691728    20957133
125685    800022    121503    12698638    10928116
247266    1531164    151444    19641332    10854960
152666    1440141    116890    21049060    12864002
176790    500134    108033    16520669    12087254
210939    6804682    130746    26788165    23047174
171012    1834584    203276    28577711    30180692
176414    1042176    129223    21300028    9642776
178182    649099    113696    47303473    31629965
126945    893538    119710    14969513    13162212
156318    1248511    146376    25654825    19885564
169957    716174    115359    16088614    8106110
264769    10228859    212938    129284621    118718586
190504    2742042    132565    42265266    34440090
125096    829542    119777    14152632    8894060
220138    2442334    207630    37386168    19899172
194663    1278998    123102    19534983    9323461
145494    932899    106396    16623036    10365179
226698    1028722    114496    20510081    10578812
192094    639642    115821    16183945    7554151
193675    922505    99298    14451755    8467759
173158    1971882    146441    35596803    25116724
113736    655470    118718    18134791    9885916
143143    718417    115212    13759939    8282474
162857    896477    138745    14726695    9010547
202535    1366204    127990    20664786    10414037
175371    1265435    142869    27065964    14191119
215831    1379843    160222    29628472    18106168
136983    881591    129004    38292326    26336570
226435    6237457    261129    93558098    110899675
230905    662313    130618    19651203    7860368
121570    4879302    187658    73499125    79350992
177467    8962820    214659    117205468    119193167
153915    605831    88790    13667603    8547869
193078    1335476    124761    20116385    13763390
170076    1594864    182581    21224999    28322023
113264    4881577    156802    43487046    45716242
217087    1060562    167668    18843981    12931188
262952    3495392    167745    63191843    43848269
252650    2696812    184162    44854486    28253481
191423    6949877    191139    118032593    111722062
156472    1896273    158641    34013750    28192779
177873    1190347    129121    19765188    8976537
224156    1795072    173940    25699436    18248562
152322    2203180    128891    36993476    23838600
168531    687047    108499    21576530    9622482
190669    1612845    139111    48224731    22983981
